date,count,count_gay,count_straight,count_aroace,count_polysexual
2019-01-23,11,9,5,11,4
2019-01-22,19,14,9,19,3
2019-01-21,8,6,3,8,3
2019-01-20,23,17,3,23,1
2019-01-19,3,1,0,3,0
2019-01-18,14,12,2,14,4
2019-01-17,8,7,2,8,5
2019-01-16,6,4,3,6,0
2019-01-15,10,9,5,10,2
2019-01-14,12,8,3,12,0
2019-01-13,7,3,6,7,1
2019-01-12,8,5,0,8,1
2019-01-11,10,9,1,10,5
2019-01-10,12,5,7,12,4
2019-01-09,15,14,2,15,1
2019-01-08,19,13,2,19,1
2019-01-07,9,5,0,9,0
2019-01-06,18,5,7,18,3
2019-01-05,12,9,3,12,2
2019-01-04,25,17,9,25,5
2019-01-03,12,6,5,12,8
2019-01-02,16,11,9,16,6
2019-01-01,9,8,4,9,0
2018-12-31,19,12,4,19,0
2018-12-30,14,12,3,14,2
2018-12-29,14,10,5,14,1
2018-12-28,20,12,4,20,2
2018-12-27,14,8,2,14,0
2018-12-26,18,13,2,18,3
2018-12-25,20,11,7,20,5
2018-12-24,12,12,4,12,0
2018-12-23,7,4,4,7,2
2018-12-22,18,9,6,18,0
2018-12-21,7,5,2,7,2
2018-12-20,6,6,2,6,0
2018-12-19,12,10,4,12,6
2018-12-18,15,6,5,15,1
2018-12-17,16,14,2,16,3
2018-12-16,16,11,7,16,3
2018-12-15,18,14,8,18,7
2018-12-14,19,14,6,19,4
2018-12-13,21,13,3,21,2
2018-12-12,8,6,1,8,1
2018-12-11,12,5,0,12,2
2018-12-10,10,7,3,10,3
2018-12-09,24,12,6,24,1
2018-12-08,5,2,2,5,0
2018-12-07,9,8,1,9,1
2018-12-06,21,10,7,21,1
2018-12-05,23,12,12,23,0
