date,count,count_gay,count_straight,count_aroace,count_polysexual
2019-08-25,42,37,10,2,42
2019-08-24,33,27,3,3,33
2019-08-23,35,29,12,0,35
2019-08-22,34,29,9,7,34
2019-08-21,32,26,10,1,32
2019-08-20,45,39,21,8,45
2019-08-19,33,29,9,1,33
2019-08-18,34,30,13,2,34
2019-08-17,36,33,7,0,36
2019-08-16,45,38,9,5,45
2019-08-15,23,21,13,1,23
2019-08-14,42,38,12,0,42
2019-08-13,36,28,19,1,36
2019-08-12,46,41,16,3,46
2019-08-11,51,46,30,1,51
2019-08-10,42,38,16,5,42
2019-08-09,36,33,13,0,36
2019-08-08,31,22,10,5,31
2019-08-07,48,41,19,1,48
2019-08-06,39,38,18,0,39
2019-08-05,52,44,22,2,52
2019-08-04,45,43,12,1,45
2019-08-03,29,27,3,3,29
2019-08-02,44,39,12,2,44
2019-08-01,48,42,14,5,48
2019-07-31,49,42,19,2,49
2019-07-30,28,24,7,4,28
2019-07-29,48,41,19,3,48
2019-07-28,38,33,8,1,38
2019-07-27,37,31,10,4,37
2019-07-26,44,39,24,4,44
2019-07-25,34,33,11,1,34
2019-07-24,42,31,17,1,42
2019-07-23,42,40,13,3,42
2019-07-22,56,50,16,1,56
2019-07-21,42,37,16,1,42
2019-07-20,35,28,14,2,35
2019-07-19,33,32,12,2,33
2019-07-18,27,22,14,0,27
2019-07-17,34,27,10,2,34
2019-07-16,45,39,16,4,45
2019-07-15,48,45,10,3,48
2019-07-14,45,36,10,7,45
2019-07-13,38,33,16,6,38
2019-07-12,26,22,6,1,26
2019-07-11,40,35,11,1,40
2019-07-10,42,35,13,3,42
2019-07-09,55,47,8,6,55
2019-07-08,51,48,26,2,51
2019-07-07,39,29,14,5,39
2019-07-06,48,41,20,4,48
2019-07-05,39,35,14,2,39
2019-07-04,27,24,10,0,27
2019-07-03,35,31,16,2,35
2019-07-02,33,29,16,9,33
2019-07-01,65,58,26,4,65
2019-06-30,45,36,16,3,45
2019-06-29,41,38,12,5,41
2019-06-28,31,26,11,3,31
2019-06-27,32,26,14,3,32
2019-06-26,41,35,11,0,41
2019-06-25,35,30,11,1,35
2019-06-24,50,45,16,1,50
2019-06-23,55,51,24,11,55
2019-06-22,38,37,9,3,38
2019-06-21,53,47,20,1,53
2019-06-20,53,39,21,2,53
2019-06-19,31,24,6,1,31
2019-06-18,35,32,12,2,35
2019-06-17,38,35,6,2,38
2019-06-16,49,45,27,0,49
2019-06-15,35,32,13,5,35
2019-06-14,31,23,14,0,31
2019-06-13,39,33,17,0,39
2019-06-12,20,17,6,0,20
2019-06-11,45,39,11,2,45
2019-06-10,40,36,16,0,40
2019-06-09,60,52,29,8,60
2019-06-08,40,37,7,3,40
2019-06-07,63,52,17,8,63
2019-06-06,51,42,13,5,51
2019-06-05,52,45,21,10,52
2019-06-04,49,33,13,5,49
2019-06-03,52,49,20,5,52
2019-06-02,48,45,14,7,48
2019-06-01,43,36,23,7,43
2019-05-31,47,39,19,4,47
2019-05-30,35,32,8,4,35
2019-05-29,44,37,17,0,44
2019-05-28,28,19,12,0,28
2019-05-27,39,35,21,4,39
2019-05-26,42,34,18,4,42
2019-05-25,32,26,11,2,32
2019-05-24,22,15,6,2,22
2019-05-23,35,33,10,2,35
2019-05-22,51,46,13,6,51
2019-05-21,29,28,7,1,29
2019-05-20,54,50,28,8,54
2019-05-19,28,20,15,2,28
2019-05-18,29,27,12,2,29
2019-05-17,26,21,12,0,26
2019-05-16,31,27,7,5,31
2019-05-15,20,17,3,1,20
2019-05-14,28,25,9,2,28
2019-05-13,45,36,12,1,45
2019-05-12,40,35,18,3,40
2019-05-11,27,24,7,2,27
2019-05-10,54,45,22,4,54
2019-05-09,28,26,8,3,28
2019-05-08,35,27,20,5,35
2019-05-07,52,41,25,4,52
2019-05-06,28,26,4,0,28
2019-05-05,52,46,24,11,52
2019-05-04,30,28,10,1,30
2019-05-03,49,34,12,1,49
2019-05-02,21,20,8,1,21
2019-05-01,42,39,13,0,42
2019-04-30,43,41,19,0,43
2019-04-29,54,45,22,3,54
2019-04-28,44,42,14,3,44
2019-04-27,45,39,15,5,45
2019-04-26,34,32,17,0,34
2019-04-25,37,30,12,2,37
2019-04-24,40,36,14,1,40
2019-04-23,32,30,10,1,32
2019-04-22,36,30,10,3,36
2019-04-21,30,27,13,1,30
2019-04-20,42,35,13,0,42
2019-04-19,49,47,19,0,49
2019-04-18,25,24,5,0,25
2019-04-17,29,26,8,2,29
2019-04-16,45,43,22,10,45
2019-04-15,41,36,16,5,41
2019-04-14,47,29,17,1,47
2019-04-13,25,24,13,1,25
2019-04-12,33,32,10,0,33
2019-04-11,40,29,13,2,40
2019-04-10,34,30,16,0,34
2019-04-09,26,19,7,1,26
2019-04-08,41,36,9,0,41
2019-04-07,48,43,14,4,48
2019-04-06,32,28,13,1,32
2019-04-05,28,28,8,2,28
2019-04-04,31,28,8,0,31
2019-04-03,33,28,18,3,33
2019-04-02,23,21,8,1,23
2019-04-01,46,45,12,0,46
2019-03-31,31,24,5,1,31
2019-03-30,30,25,9,4,30
2019-03-29,33,30,11,2,33
2019-03-28,30,28,9,6,30
2019-03-27,35,32,9,0,35
2019-03-26,33,31,13,3,33
2019-03-25,44,39,11,3,44
2019-03-24,41,40,12,1,41
2019-03-23,32,29,5,0,32
2019-03-22,19,16,2,0,19
2019-03-21,46,41,9,3,46
2019-03-20,27,26,9,0,27
2019-03-19,23,18,8,1,23
2019-03-18,50,45,19,10,50
2019-03-17,31,29,9,0,31
2019-03-16,24,23,9,2,24
2019-03-15,37,32,8,2,37
2019-03-14,31,28,10,0,31
2019-03-13,23,18,10,1,23
2019-03-12,36,28,13,2,36
2019-03-11,42,34,20,0,42
2019-03-10,48,43,21,3,48
2019-03-09,31,28,8,0,31
2019-03-08,40,31,6,1,40
2019-03-07,39,34,9,0,39
2019-03-06,37,28,16,1,37
2019-03-05,37,29,12,2,37
2019-03-04,35,28,11,1,35
2019-03-03,29,28,6,2,29
2019-03-02,38,32,15,3,38
2019-03-01,43,41,18,4,43
2019-02-28,33,30,11,0,33
2019-02-27,17,15,3,3,17
2019-02-26,36,32,11,0,36
2019-02-25,35,32,11,3,35
2019-02-24,41,34,15,1,41
2019-02-23,41,34,9,6,41
2019-02-22,48,47,15,0,48
2019-02-21,36,32,13,1,36
2019-02-20,40,33,6,0,40
2019-02-19,47,36,17,4,47
2019-02-18,49,42,27,3,49
2019-02-17,32,25,11,0,32
2019-02-16,48,40,16,1,48
2019-02-15,34,30,9,4,34
2019-02-14,61,54,20,3,61
2019-02-13,41,37,12,0,41
2019-02-12,32,28,18,1,32
2019-02-11,60,51,25,1,60
2019-02-10,49,44,16,0,49
2019-02-09,32,31,3,0,32
2019-02-08,31,28,3,4,31
2019-02-07,34,31,14,0,34
2019-02-06,31,26,9,2,31
2019-02-05,31,29,15,2,31
2019-02-04,42,36,21,2,42
2019-02-03,56,48,11,4,56
2019-02-02,47,36,13,3,47
2019-02-01,30,28,4,4,30
2019-01-31,30,26,7,1,30
2019-01-30,44,43,18,0,44
2019-01-29,29,25,10,1,29
2019-01-28,52,41,20,1,52
2019-01-27,47,43,17,4,47
2019-01-26,22,17,7,0,22
2019-01-25,28,25,7,3,28
2019-01-24,32,27,12,1,32
2019-01-23,27,26,10,1,27
2019-01-22,30,28,8,5,30
2019-01-21,43,40,17,5,43
2019-01-20,38,38,10,1,38
2019-01-19,29,26,10,0,29
2019-01-18,23,20,9,1,23
2019-01-17,35,29,13,2,35
2019-01-16,34,27,9,0,34
2019-01-15,32,28,10,2,32
2019-01-14,36,30,11,0,36
2019-01-13,35,28,12,3,35
2019-01-12,29,26,10,1,29
2019-01-11,28,26,7,5,28
2019-01-10,39,27,17,2,39
2019-01-09,33,27,18,3,33
2019-01-08,38,33,9,1,38
2019-01-07,27,24,14,0,27
2019-01-06,44,36,18,3,44
2019-01-05,35,31,5,5,35
2019-01-04,27,25,8,4,27
2019-01-03,49,41,12,11,49
2019-01-02,46,42,14,8,46
2019-01-01,49,43,9,0,49
2018-12-31,55,43,20,0,55
2018-12-30,43,35,17,1,43
2018-12-29,35,32,2,1,35
2018-12-28,36,25,13,2,36
2018-12-27,38,33,18,0,38
2018-12-26,36,36,10,3,36
2018-12-25,41,34,10,7,41
2018-12-24,48,43,22,0,48
2018-12-23,38,33,9,2,38
2018-12-22,27,24,13,0,27
2018-12-21,44,41,9,2,44
2018-12-20,34,31,14,0,34
2018-12-19,28,27,8,5,28
2018-12-18,42,38,18,1,42
2018-12-17,44,38,21,3,44
2018-12-16,57,51,22,3,57
2018-12-15,42,39,18,4,42
2018-12-14,45,40,10,2,45
2018-12-13,34,29,12,3,34
2018-12-12,36,34,10,1,36
2018-12-11,42,38,18,1,42
2018-12-10,40,35,21,3,40
2018-12-09,43,37,17,1,43
2018-12-08,59,47,24,0,59
2018-12-07,22,21,6,1,22
2018-12-06,28,25,6,1,28
2018-12-05,39,35,16,0,39
