date,tag,count,count_gay,count_straight,count_aroace,count_polysexual
2019-06-28,aromantic,4,2,1,4,2
2019-06-27,aromantic,1,0,0,1,1
2019-06-26,aromantic,5,4,0,5,0
2019-06-25,aromantic,2,1,0,2,0
2019-06-24,aromantic,6,4,0,6,0
2019-06-23,aromantic,2,2,1,2,1
2019-06-22,aromantic,1,1,0,1,0
2019-06-21,aromantic,3,2,0,3,1
2019-06-20,aromantic,1,0,0,1,0
2019-06-18,aromantic,6,6,1,6,0
2019-06-17,aromantic,5,3,2,5,0
2019-06-16,aromantic,2,0,0,2,0
2019-06-15,aromantic,3,1,0,3,1
2019-06-14,aromantic,1,0,0,1,0
2019-06-13,aromantic,1,0,0,1,0
2019-06-11,aromantic,3,2,1,3,1
2019-06-10,aromantic,3,2,0,3,0
2019-06-09,aromantic,4,3,1,4,1
2019-06-08,aromantic,2,2,0,2,2
2019-06-07,aromantic,4,3,2,4,3
2019-06-06,aromantic,3,2,0,3,1
2019-06-05,aromantic,5,3,1,5,2
2019-06-04,aromantic,12,3,0,12,1
2019-06-03,aromantic,5,2,1,5,0
2019-06-02,aromantic,1,0,1,1,0
2019-06-01,aromantic,6,4,1,6,2
2019-05-31,aromantic,2,1,1,2,1
2019-05-30,aromantic,1,1,1,1,1
2019-05-29,aromantic,1,0,0,1,0
2019-05-28,aromantic,1,0,0,1,0
2019-05-26,aromantic,3,3,1,3,2
2019-05-24,aromantic,7,1,0,7,1
2019-05-23,aromantic,4,3,3,4,1
2019-05-22,aromantic,1,0,0,1,0
2019-05-21,aromantic,1,0,0,1,0
2019-05-20,aromantic,1,1,1,1,1
2019-05-19,aromantic,2,2,1,2,1
2019-05-18,aromantic,9,2,2,9,0
2019-05-15,aromantic,2,0,0,2,1
2019-05-14,aromantic,3,3,0,3,0
2019-05-13,aromantic,1,0,0,1,0
2019-05-12,aromantic,2,0,0,2,0
2019-05-11,aromantic,4,3,4,4,3
2019-05-09,aromantic,2,2,1,2,1
2019-05-08,aromantic,1,1,0,1,0
2019-05-07,aromantic,1,1,0,1,0
2019-05-06,aromantic,4,1,1,4,0
2019-05-05,aromantic,2,1,2,2,1
2019-05-04,aromantic,3,1,2,3,0
2019-05-03,aromantic,1,0,0,1,0
2019-05-02,aromantic,1,0,0,1,0
2019-05-01,aromantic,1,1,1,1,0
2019-04-30,aromantic,3,1,0,3,0
2019-04-29,aromantic,1,1,1,1,1
2019-04-28,aromantic,1,1,0,1,0
2019-04-27,aromantic,3,1,1,3,1
2019-04-26,aromantic,1,1,0,1,0
2019-04-25,aromantic,4,3,1,4,1
