date,tag,count
2014-09-08,slow burn,6
2014-09-07,slow burn,5
2014-09-06,slow burn,5
2014-09-05,slow burn,5
2014-09-04,slow burn,5
2014-09-03,slow burn,3
2014-09-02,slow burn,9
2014-09-01,slow burn,3
2014-08-31,slow burn,4
2014-08-30,slow burn,2
2014-08-29,slow burn,3
2014-08-27,slow burn,3
2014-08-26,slow burn,3
2014-08-25,slow burn,2
2014-08-24,slow burn,6
2014-08-23,slow burn,3
2014-08-22,slow burn,7
2014-08-21,slow burn,7
2014-08-20,slow burn,4
2014-08-19,slow burn,3
2014-08-18,slow burn,4
2014-08-17,slow burn,7
2014-08-16,slow burn,11
2014-08-15,slow burn,4
2014-08-14,slow burn,3
2014-08-13,slow burn,7
2014-08-12,slow burn,7
2014-08-11,slow burn,3
2014-08-10,slow burn,6
2014-08-09,slow burn,5
2014-08-08,slow burn,7
2014-08-07,slow burn,4
2014-08-06,slow burn,12
2014-08-05,slow burn,9
2014-08-04,slow burn,5
2014-08-03,slow burn,4
2014-08-02,slow burn,6
2014-08-01,slow burn,8
2014-07-31,slow burn,4
2014-07-30,slow burn,4
2014-07-29,slow burn,5
2014-07-28,slow burn,3
2014-07-27,slow burn,3
2014-07-26,slow burn,4
2014-07-25,slow burn,2
2014-07-24,slow burn,4
2014-07-23,slow burn,10
2014-07-22,slow burn,5
2014-07-21,slow burn,4
2014-07-20,slow burn,4
2014-07-19,slow burn,9
2014-07-18,slow burn,12
2014-07-17,slow burn,8
2014-07-16,slow burn,2
2014-07-15,slow burn,3
2014-07-14,slow burn,3
2014-07-13,slow burn,4
2014-07-12,slow burn,5
2014-07-11,slow burn,10
2014-07-10,slow burn,8
2014-07-08,slow burn,5
2014-07-07,slow burn,5
2014-07-06,slow burn,4
2014-07-05,slow burn,6
2014-07-04,slow burn,2
2014-07-03,slow burn,6
2014-07-02,slow burn,4
2014-07-01,slow burn,4
2014-06-30,slow burn,6
2014-06-29,slow burn,5
2014-06-28,slow burn,5
2014-06-27,slow burn,4
2014-06-26,slow burn,3
2014-06-25,slow burn,5
2014-06-24,slow burn,3
2014-06-23,slow burn,2
2014-06-21,slow burn,8
2014-06-20,slow burn,6
2014-06-19,slow burn,4
2014-06-18,slow burn,7
2014-06-17,slow burn,4
2014-06-16,slow burn,4
2014-06-15,slow burn,5
2014-06-14,slow burn,9
2014-06-13,slow burn,4
2014-06-12,slow burn,3
2014-06-11,slow burn,2
2014-06-10,slow burn,5
2014-06-09,slow burn,4
2014-06-08,slow burn,3
2014-06-07,slow burn,5
2014-06-06,slow burn,10
2014-06-05,slow burn,3
2014-06-04,slow burn,3
2014-06-03,slow burn,3
2014-06-02,slow burn,6
